Kolumna1,ID,lp,ekspot,kategorie,start_min,start_s,stop_min,stop_s,czas_w_sek,czas_w_min,Z_KIM,X1_OSTOW,X2_OSTOW,X3_OSTOW,X4_OSTOW,X5_OSTOW,X6_OSTOW,X7_OSTOW,X8_OSTOW,X9_OSTOW,ILE_OSTOW,zach,opis,animator,uwagi,os_3,os_3_e,os_2,os_2_e
5652,1005,5786,WYDOBYWANIE ZATOPIONYCH OBIEKTÓW,2,104,44,105,2,18,0.3,1007,1007,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5653,1005,5787,KSZTAŁTOWANIE TERENU,2,105,14,105,39,25,0.42,1007,1007,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5654,1005,5788,ŻAGLE  HORYZONCIE DZIEJÓW,2,105,41,105,51,10,0.17,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5655,1005,5789,KOŁO WODNE,2,105,52,106,18,26,0.43,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5656,1005,5790,KSZTAŁTOWANIE TERENU,2,106,20,106,33,13,0.22,1007,1007,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5657,1005,5791,"WIR TU, WIR TAM",2,107,2,107,9,7,0.12,1007,1007,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
5658,1005,5792,MYDLA ŚCIA,2,107,19,107,51,32,0.53,"1007, 0906",1007,906,,,,,,,,2,3,,,,3,z 3 lub więcej osobami,2,z innymi
5659,1005,5793,PRAWDZIWA GEOMETRIA TURY,2,108,2,108,24,22,0.37,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5660,1005,5794,INNE- SKLEPIK SCIENCE STORE,1,109,9,112,29,200,3.33,,,,,,,,,,,0,,,,,1,sam/a,1,sam/a
5661,1005,5795,MAGIA SZTUKI PREHISTORYCZNEJ,2,113,20,113,27,7,0.12,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5662,1005,5796,SKRECZUJĄCY DIDŻEJE,2,116,20,116,29,9,0.15,,,,,,,,,,,0,3,,,Rozmowa z koleżankami o zakupach w sklepie.,1,sam/a,1,sam/a
5663,1005,5797,HANDEL W CZASIE I PRZESTRZENI,2,116,31,116,52,21,0.35,1010,1010,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5664,1005,5798,ORKIESTRA TUSZ,2,117,2,117,52,50,0.83,1010,1010,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5665,1005,5799,"RADIO, CZYLI SZKODA, ŻE PAŃSTWO TEGO NIE WIDZĄ",2,118,30,118,36,6,0.1,,,,,,,,,,,0,2,,,Rozmowa z uczycielami.,1,sam/a,1,sam/a
5666,1005,5800,PROSTOWANIE KOŁA,2,118,50,119,48,58,0.97,1010,1010,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5667,1005,5801,ROZETA,2,119,56,120,7,11,0.18,1010,1010,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5668,1006,5802,ODWRÓCONE WAHADŁO FOUCAULT,2,0,19,0,25,6,0.1,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
5669,1006,5803,WAHADŁO FOUCAULT,2,0,35,1,39,64,1.07,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
5670,1006,5804,"TRZY TURBINY, TRZECH WYLAZCÓW",2,2,5,3,12,67,1.12,"1018, 1012, D",1018,1012,D,,,,,,,3,2,,,D - osoba dorosła.,3,z 3 lub więcej osobami,2,z innymi
5671,1006,5805,ŚRUBA ARCHIMEDESA,2,3,17,3,47,30,0.5,D,D,,,,,,,,,1,3,,,Zdjęcie pani jej robi.,2,z inną osobą,2,z innymi
5672,1006,5806,PERSKIE KOŁO,2,3,51,4,41,50,0.83,"1018, D",1018,D,,,,,,,,2,3,,,,3,z 3 lub więcej osobami,2,z innymi
5673,1006,5807,KOŁOWRÓT STUDZIENNY,2,4,52,5,42,50,0.83,"1012, 1014, 1018, D",1012,1014,1018,D,,,,,,4,1,,,,3,z 3 lub więcej osobami,2,z innymi
5674,1006,5808,MYDLA ŚCIA,2,6,2,7,55,113,1.88,"1012, 1009, 1018, 1002",1012,1009,1018,1002,,,,,,4,1,,,,3,z 3 lub więcej osobami,2,z innymi
5675,1006,5809,SKRECZUJĄCY DIDŻEJE,2,8,5,8,32,27,0.45,"1012, 1014, 1002, D",1012,1014,1002,D,,,,,,4,1,,,,3,z 3 lub więcej osobami,2,z innymi
5676,1006,5810,AUKCJA HOLENDERSKA,2,8,44,9,8,24,0.4,D,D,,,,,,,,,1,1,,,,2,z inną osobą,2,z innymi
5677,1006,5811,LASEROWA HARFA,2,9,31,10,58,87,1.45,"1012, 1021, 1009, D",1012,1021,1009,D,,,,,,4,2,,,,3,z 3 lub więcej osobami,2,z innymi
5678,1006,5812,GRAJĄCA DESECZKA,2,11,10,11,17,7,0.12,"1018, 1021",1018,1021,,,,,,,,2,2,,,,3,z 3 lub więcej osobami,2,z innymi
5679,1006,5813,ORKIESTRA TUSZ,2,11,22,12,0,38,0.63,"D, 1012",D,1012,,,,,,,,2,2,,,,3,z 3 lub więcej osobami,2,z innymi
5680,1006,5814,GRAJĄCA DESECZKA,2,12,4,14,28,144,2.4,"1012, D, D1, D2",1012,D,D1,D2,,,,,,4,3,,,,3,z 3 lub więcej osobami,2,z innymi
5681,1006,5815,"RADIO, CZYLI SZKODA, ŻE PAŃSTWO TEGO NIE WIDZĄ",2,14,40,15,12,32,0.53,"1012, D, D1",1012,D,D1,,,,,,,3,1,,,,3,z 3 lub więcej osobami,2,z innymi
5682,1006,5816,HISTORIA KOŁEM SIĘ TOCZY,2,15,16,15,42,26,0.43,"1012, D, D1",1012,D,D1,,,,,,,3,2,,,,3,z 3 lub więcej osobami,2,z innymi
5683,1006,5817,ROZETA,2,15,59,20,12,253,4.22,"1012, 1021, D, D1",1012,1021,D,D1,,,,,,4,3,,1,,3,z 3 lub więcej osobami,2,z innymi
5684,1006,5818,JEDEN Z MILIO,2,20,22,22,24,122,2.03,"1012, D, D1, D2",1012,D,D1,D2,,,,,,4,3,,,,3,z 3 lub więcej osobami,2,z innymi
5685,1006,5819,I TŁOKI TURKOCĄ,2,22,59,24,8,69,1.15,"1012, 1021, D",1012,1021,D,,,,,,,3,2,,,,3,z 3 lub więcej osobami,2,z innymi
5686,1006,5820,PRĄD  KORBKĘ,2,24,12,24,35,23,0.38,"1021, 1012, D, D1, D2",1021,1012,,,,,,,,2,2,,,,3,z 3 lub więcej osobami,2,z innymi
5687,1006,5821,MAŁE WIELKIE MASZYNY,2,24,39,25,44,65,1.08,"1021, 1012, D, D1, D2",1021,1012,,,,,,,,2,1,,,,3,z 3 lub więcej osobami,2,z innymi
5688,1006,5822,ŚWIETLNE AKROBACJE,2,26,8,28,50,162,2.7,"1010, 1021, 1002, 1004",1010,1021,1002,1004,,,,,,4,3,,,,3,z 3 lub więcej osobami,2,z innymi
5689,1006,5823,MYDLA ŚCIA,2,30,5,30,36,31,0.52,"1021, 1004, D, D1, D2",1021,1004,,,,,,,,2,2,,,,3,z 3 lub więcej osobami,2,z innymi
5690,1006,5824,WSTĘGA MOBIUSA,2,30,46,38,11,445,7.42,"1012, D, D1",1012,D,D1,,,,,,,3,2,,1,A. Dwóch różnych animatorów po sobie.,3,z 3 lub więcej osobami,2,z innymi
5691,1006,5825,ZAPISY LICZBOWE,2,38,24,40,24,120,2,1012,1012,,,,,,,,,1,2,,1,,2,z inną osobą,2,z innymi
5692,1006,5826,ALARM  STATKU,2,40,48,42,46,118,1.97,"1004, 1012, D, D1",1004,1012,D,D1,,,,,,4,3,,,,3,z 3 lub więcej osobami,2,z innymi
5693,1006,5827,POCISK  SPRĘŻONE POWIETRZE,2,43,48,44,32,44,0.73,"1012, 1004, D, D1, D2",1012,1004,,,,,,,,2,3,,,,3,z 3 lub więcej osobami,2,z innymi
5694,1006,5828,RAKIETA  WODÓR,2,44,39,46,46,127,2.12,"1021, 1012, D, D1",1021,1012,D,D1,,,,,,4,2,1,,"Chciałaby iść, ale nie chce oddzielać się od grupy.",3,z 3 lub więcej osobami,2,z innymi
