"nr_glosowania" "za" "przeciw" "wstrzymal" "nieobecny" "obecny" "tendencja" "proc_zgodnosci"
"344" 344 0 16 0 0 16 "Przeciw" 1
"345" 345 0 12 0 4 12 "Przeciw" 1
"346" 346 12 0 0 4 12 "Za" 1
"347" 347 0 12 0 4 12 "Przeciw" 1
"348" 348 0 12 2 2 14 "Przeciw" 0.86
"349" 349 0 12 2 2 14 "Przeciw" 0.86
"350" 350 14 0 0 2 14 "Za" 1
"351" 351 14 0 0 2 14 "Za" 1
"352" 352 0 11 4 1 15 "Przeciw" 0.73
"353" 353 15 0 0 1 15 "Za" 1
"354" 354 2 0 13 1 15 "Wstrzyma³ siê" 0.87
"355" 355 0 15 0 1 15 "Przeciw" 1
"356" 356 4 3 6 3 13 "Wstrzyma³ siê" 0.46
"357" 357 8 3 4 1 15 "Za" 0.53
"358" 358 9 1 2 4 12 "Za" 0.75
"359" 359 14 0 0 2 14 "Za" 1
"360" 360 15 0 0 1 15 "Za" 1
"361" 361 14 0 1 1 15 "Za" 0.93
"362" 362 13 0 0 3 13 "Za" 1
"363" 363 4 10 1 1 15 "Przeciw" 0.67
"364" 364 13 0 1 2 14 "Za" 0.93
"365" 365 12 0 2 2 14 "Za" 0.86
"366" 366 14 1 0 1 15 "Za" 0.93
"367" 367 15 0 0 1 15 "Za" 1
"368" 368 13 0 1 2 14 "Za" 0.93
"369" 369 14 0 1 1 15 "Za" 0.93
"370" 370 13 0 1 2 14 "Za" 0.93
"371" 371 11 3 0 2 14 "Za" 0.79
"372" 372 12 0 2 2 14 "Za" 0.86
"373" 373 11 2 2 1 15 "Za" 0.73
"374" 374 6 4 4 2 14 "Za" 0.43
"375" 375 7 3 4 2 14 "Za" 0.5
"376" 376 12 0 1 3 13 "Za" 0.92
"377" 377 12 0 3 1 15 "Za" 0.8
"378" 378 13 0 1 2 14 "Za" 0.93
"379" 379 11 0 2 3 13 "Za" 0.85
"380" 380 10 0 3 3 13 "Za" 0.77
"381" 381 11 0 2 3 13 "Za" 0.85
"382" 382 15 0 0 1 15 "Za" 1
"383" 383 14 0 1 1 15 "Za" 0.93
"384" 384 10 4 1 1 15 "Za" 0.67
"385" 385 6 4 4 2 14 "Za" 0.43
"386" 386 8 2 4 2 14 "Za" 0.57
"387" 387 14 0 1 1 15 "Za" 0.93
"388" 388 14 0 1 1 15 "Za" 0.93
"389" 389 14 0 1 1 15 "Za" 0.93
"390" 390 12 0 2 2 14 "Za" 0.86
"391" 391 13 1 1 1 15 "Za" 0.87
"392" 392 14 0 1 1 15 "Za" 0.93
"393" 393 11 3 1 1 15 "Za" 0.73
"394" 394 13 0 1 2 14 "Za" 0.93
"395" 395 14 0 1 1 15 "Za" 0.93
"396" 396 14 0 1 1 15 "Za" 0.93
"397" 397 14 0 1 1 15 "Za" 0.93
"398" 398 14 0 1 1 15 "Za" 0.93
"399" 399 14 0 1 1 15 "Za" 0.93
"400" 400 13 0 1 2 14 "Za" 0.93
"401" 401 13 0 0 3 13 "Za" 1
"402" 402 11 0 3 2 14 "Za" 0.79
"403" 403 9 3 2 2 14 "Za" 0.64
"404" 404 14 0 1 1 15 "Za" 0.93
"405" 405 11 1 3 1 15 "Za" 0.73
"406" 406 14 0 1 1 15 "Za" 0.93
"407" 407 9 3 3 1 15 "Za" 0.6
"408" 408 13 0 1 2 14 "Za" 0.93
"409" 409 14 0 1 1 15 "Za" 0.93
"410" 410 14 0 1 1 15 "Za" 0.93
"411" 411 14 0 1 1 15 "Za" 0.93
"412" 412 13 0 2 1 15 "Za" 0.87
"413" 413 11 1 3 1 15 "Za" 0.73
"414" 414 14 0 1 1 15 "Za" 0.93
"415" 415 14 0 1 1 15 "Za" 0.93
"416" 416 14 0 1 1 15 "Za" 0.93
"417" 417 12 0 2 2 14 "Za" 0.86
"418" 418 12 0 1 3 13 "Za" 0.92
"419" 419 12 1 1 2 14 "Za" 0.86
"420" 420 13 0 1 2 14 "Za" 0.93
"421" 421 13 1 1 1 15 "Za" 0.87
"422" 422 14 0 1 1 15 "Za" 0.93
"423" 423 15 0 0 1 15 "Za" 1
"424" 424 14 0 1 1 15 "Za" 0.93
"425" 425 9 3 2 2 14 "Za" 0.64
"426" 426 13 1 1 1 15 "Za" 0.87
"427" 427 13 0 2 1 15 "Za" 0.87
"428" 428 10 1 3 2 14 "Za" 0.71
"429" 429 13 0 2 1 15 "Za" 0.87
"430" 430 14 0 1 1 15 "Za" 0.93
"431" 431 14 0 1 1 15 "Za" 0.93
"432" 432 14 0 1 1 15 "Za" 0.93
"433" 433 14 0 1 1 15 "Za" 0.93
"434" 434 14 0 1 1 15 "Za" 0.93
"435" 435 13 1 1 1 15 "Za" 0.87
"436" 436 14 0 1 1 15 "Za" 0.93
"437" 437 12 0 3 1 15 "Za" 0.8
"438" 438 11 1 3 1 15 "Za" 0.73
"439" 439 14 0 1 1 15 "Za" 0.93
"440" 440 14 0 1 1 15 "Za" 0.93
"441" 441 12 1 1 2 14 "Za" 0.86
"442" 442 13 1 1 1 15 "Za" 0.87
"443" 443 13 0 2 1 15 "Za" 0.87
"444" 444 13 0 2 1 15 "Za" 0.87
"445" 445 14 0 1 1 15 "Za" 0.93
"446" 446 10 3 2 1 15 "Za" 0.67
"447" 447 13 0 2 1 15 "Za" 0.87
"448" 448 14 0 1 1 15 "Za" 0.93
"449" 449 13 0 2 1 15 "Za" 0.87
"450" 450 13 0 2 1 15 "Za" 0.87
"451" 451 14 0 1 1 15 "Za" 0.93
"452" 452 13 0 1 2 14 "Za" 0.93
"453" 453 14 0 1 1 15 "Za" 0.93
"454" 454 15 0 0 1 15 "Za" 1
"455" 455 13 0 2 1 15 "Za" 0.87
"456" 456 15 0 0 1 15 "Za" 1
"457" 457 14 0 1 1 15 "Za" 0.93
"458" 458 14 0 1 1 15 "Za" 0.93
"459" 459 13 1 1 1 15 "Za" 0.87
"460" 460 13 1 0 2 14 "Za" 0.93
"461" 461 7 5 3 1 15 "Za" 0.47
"462" 462 13 0 2 1 15 "Za" 0.87
"463" 463 14 0 1 1 15 "Za" 0.93
"464" 464 14 0 1 1 15 "Za" 0.93
"465" 465 14 0 1 1 15 "Za" 0.93
"466" 466 14 0 1 1 15 "Za" 0.93
"467" 467 12 1 2 1 15 "Za" 0.8
"468" 468 14 1 0 1 15 "Za" 0.93
"469" 469 12 1 2 1 15 "Za" 0.8
"470" 470 13 1 1 1 15 "Za" 0.87
"471" 471 14 0 1 1 15 "Za" 0.93
"472" 472 14 0 1 1 15 "Za" 0.93
"473" 473 12 0 3 1 15 "Za" 0.8
"474" 474 13 1 1 1 15 "Za" 0.87
